ID,Type,StartTime,EndTime,Location,BPM,Color,,,,
int,int,float,int,int,float,float,,,,
1000001,0,1090,0,320,110,,,,,
1000002,0,1636,0,192,,,,,,
1000003,0,2181,0,320,,,,,,
1000004,0,2727,0,192,,,,,,
1000005,0,3272,0,448,,,,,,
1000006,0,3818,0,64,,,,,,
1000007,0,4363,0,320,,,,,,
1000008,0,4909,0,192,,,,,,
1000009,0,5454,0,320,,,,,,
1000010,0,6000,0,192,,,,,,
1000011,0,6545,0,320,,,,,,
1000012,0,7090,0,192,,,,,,
1000013,2,7636,8727,320,,,,,,
1000014,0,8727,0,192,,,,,,
1000015,0,9272,0,320,,,,,,
1000016,0,9818,0,192,,,,,,
1000017,0,10363,0,448,,,,,,
1000018,0,10909,0,192,,,,,,
1000019,0,11454,0,320,,,,,,
1000020,0,12000,0,192,,,,,,
1000021,0,12545,0,320,,,,,,
1000022,0,13090,0,192,,,,,,
1000023,0,13636,0,320,,,,,,
1000024,2,14181,14727,192,,,,,,
1000025,0,15000,0,320,,,,,,
1000026,0,15272,0,64,,,,,,
1000027,0,15545,0,320,,,,,,
1000028,0,15818,0,192,,,,,,
1000029,0,16090,0,448,,,,,,
1000030,2,16363,16909,192,,,,,,
1000031,0,17181,0,320,,,,,,
1000032,0,17454,0,64,,,,,,
1000033,0,17727,0,448,,,,,,
1000034,0,18000,0,192,,,,,,
1000035,0,18272,0,320,,,,,,
1000036,2,18545,19636,192,,,,,,
1000037,2,19636,20727,320,,,,,,
1000038,2,20727,21818,192,,,,,,
1000039,2,21818,22909,320,,,,,,
1000040,2,22909,26181,192,,1,,,,
1000041,0,26181,0,64,,,,,,
1000042,0,26454,0,320,,,,,,
1000043,0,26727,0,192,,,,,,
1000044,0,27000,0,448,,,,,,
1000045,2,27272,27818,192,,,,,,
1000046,2,27818,28363,320,,,,,,
1000047,2,28363,28909,192,,,,,,
1000048,2,28909,29454,448,,,,,,
1000049,2,29454,30000,64,,,,,,
1000050,2,30000,30545,320,,,,,,
1000051,2,30545,31090,192,,,,,,
1000052,2,31090,31636,448,,,,,,
1000053,2,31636,32181,64,,,,,,
1000054,0,32181,0,320,,,,,,
1000055,0,32454,0,192,,,,,,
1000056,0,32727,0,448,,,,,,
1000057,0,33000,0,192,,,,,,
1000058,0,33272,0,320,,,,,,
1000059,0,33545,0,192,,,,,,
1000060,2,33818,34363,320,,,,,,
1000061,0,34363,0,64,,,,,,
1000062,0,34636,0,320,,,,,,
1000063,0,34909,0,192,,,,,,
1000064,0,35181,0,448,,,,,,
1000065,0,35454,0,192,,,,,,
1000066,0,35727,0,320,,,,,,
1000067,2,36000,36545,192,,,,,,
1000068,2,36545,37090,320,,,,,,
1000069,2,37090,37636,192,,,,,,
1000070,2,37636,38181,448,,,,,,
1000071,2,38181,38727,64,,,,,,
1000072,2,38727,39272,320,,,,,,
1000073,2,39272,39818,192,,,,,,
1000074,2,39818,40363,448,,,,,,
1000075,2,40363,40909,64,,,,,,
1000076,0,40909,0,320,,,,,,
1000077,0,41181,0,192,,,,,,
1000078,0,41454,0,448,,,,,,
1000079,0,41727,0,192,,,,,,
1000080,0,42000,0,320,,,,,,
1000081,0,42272,0,192,,,,,,
1000082,2,42545,43090,320,,,,,,
1000083,0,43090,0,64,,,,,,
1000084,0,43363,0,320,,,,,,
1000085,0,43636,0,192,,,,,,
1000086,0,43909,0,448,,,,,,
1000087,0,44181,0,192,,,,,,
1000088,0,44454,0,320,,,,,,
1000089,2,44727,45272,64,,,,,,
1000090,2,45272,45818,448,,,,,,
1000091,2,45818,46363,192,,,,,,
1000092,2,46363,46909,320,,,,,,
1000093,2,46909,47454,192,,,,,,
1000094,2,47454,48000,320,,,,,,
1000095,2,48000,48545,192,,,,,,
1000096,2,48545,49090,448,,,,,,
1000097,2,49090,49636,64,,,,,,
1000098,2,49636,50181,320,,,,,,
1000099,2,50181,50727,192,,,,,,
1000100,2,50727,51272,448,,,,,,
1000101,2,51272,51818,64,,,,,,
1000102,2,51818,52363,320,,,,,,
1000103,2,52363,52909,192,,,,,,
1000104,2,52909,53454,64,,,,,,
