ID,Type,StartTime,EndTime,Location,BPM,Color,,
int,int,float,int,int,float,float,,
1000001,2,894,1355,192,130,,,
1000002,0,1355,0,320,,,,
1000003,0,1586,0,64,,,,
1000004,0,1817,0,448,,,,
1000005,0,2048,0,192,,,,
1000006,0,2278,0,320,,,,
1000007,0,2509,0,192,,,,
1000008,2,2740,3201,448,,,,
1000009,2,3201,3663,192,,,,
1000010,2,3663,4125,320,,,,
1000011,2,4586,5048,192,,,,
1000012,0,5048,0,320,,,,
1000013,0,5278,0,64,,,,
1000014,0,5509,0,448,,,,
1000015,0,5740,0,192,,,,
1000016,0,5971,0,320,,,,
1000017,0,6201,0,192,,,,
1000018,2,6432,6894,448,,,,
1000019,2,6894,7355,192,,,,
1000020,2,7355,7817,320,,,,
1000021,0,8048,0,192,,,,
1000022,2,8278,8740,320,,,,
1000023,0,8740,0,192,,,,
1000024,0,8971,0,448,,,,
1000025,0,9201,0,64,,,,
1000026,0,9432,0,320,,,,
1000027,0,9663,0,192,,,,
1000028,0,9894,0,320,,,,
1000029,2,10125,10586,64,,,,
1000030,2,10586,11048,192,,,,
1000031,2,11048,11509,320,,,,
1000032,0,11509,0,64,,,,
1000033,0,11740,0,320,,,,
1000034,2,11971,12432,192,,,,
1000035,0,12432,0,448,,,,
1000036,0,12663,0,192,,,,
1000037,2,12894,13355,320,,,,
1000038,2,13355,13817,192,,,,
1000039,2,13817,14278,448,,,,
1000040,0,15432,0,192,,,,
1000041,0,15663,0,320,,,,
1000042,0,16125,0,192,,,,
1000043,0,16355,0,448,,,,
1000044,2,16586,17048,64,,,,
1000045,0,17048,0,320,,,,
1000046,0,17278,0,448,,,,
1000047,2,17509,17971,192,,,,
1000048,0,17971,0,320,,,,
1000049,0,18201,0,192,,,,
1000050,2,18432,18894,448,,,,
1000051,0,18894,0,192,,,,
1000052,0,19125,0,320,,,,
1000053,2,19355,19817,64,,,,
1000054,0,19817,0,448,,,,
1000055,0,20048,0,192,,,,
1000056,2,20278,20740,320,,,,
1000057,0,20740,0,64,,,,
1000058,0,20971,0,448,,,,
1000059,2,21201,21663,192,,,,
1000060,0,21663,0,320,,,,
1000061,0,21894,0,192,,,,
1000062,2,22125,22586,448,,,,
1000063,0,22817,0,64,,,,
1000064,2,23048,23509,320,,,,
1000065,0,23509,0,192,,,,
1000066,0,23740,0,448,,,,
1000067,2,23971,24432,64,,,,
1000068,0,24432,0,320,,,,
1000069,0,24663,0,192,,,,
1000070,0,24894,0,448,,,,
1000071,0,25125,0,320,,,,
1000072,0,25355,0,192,,,,
1000073,0,25586,0,64,,,,
1000074,2,25817,26278,320,,,,
1000075,0,26278,0,192,,,,
1000076,0,26509,0,320,,,,
1000077,2,26740,27201,448,,,,
1000078,0,27201,0,64,,,,
1000079,0,27432,0,192,,,,
1000080,2,27663,28125,320,,,,
1000081,2,28125,30432,192,,1,,
1000082,2,30432,30894,64,,,,
1000083,2,30432,30894,320,,,,
1000084,0,30894,0,192,,,,
1000085,0,31125,0,320,,,,
1000086,0,31355,0,192,,,,
1000087,0,31586,0,320,,,,
1000088,0,31817,0,192,,,,
1000089,0,32048,0,320,,,,
1000090,2,32278,32740,192,,,,
1000091,2,32740,33201,320,,,,
1000092,2,33201,33663,64,,,,
1000093,2,34125,34586,448,,,,
1000094,2,34125,34586,192,,,,
1000095,0,34586,0,320,,,,
1000096,0,34817,0,192,,,,
1000097,0,35048,0,320,,,,
1000098,0,35278,0,192,,,,
1000099,0,35509,0,320,,,,
1000100,0,35740,0,192,,,,
1000101,2,35971,36432,320,,,,
1000102,2,36432,36894,192,,,,
1000103,2,36894,37355,448,,,,
1000104,0,37586,0,192,,,,
1000105,2,37817,38278,320,,,,
1000106,2,37817,38278,64,,,,
1000107,0,38278,0,192,,,,
1000108,0,38509,0,320,,,,
1000109,0,38740,0,192,,,,
1000110,0,38971,0,320,,,,
1000111,0,39201,0,192,,,,
1000112,0,39432,0,320,,,,
1000113,2,39663,40125,192,,,,
1000114,2,40125,40586,320,,,,
1000115,2,40586,41048,64,,,,
1000116,0,41048,0,320,,,,
1000117,0,41278,0,192,,,,
1000118,2,41509,41971,320,,,,
1000119,0,41971,0,192,,,,
1000120,0,42201,0,320,,,,
1000121,2,42432,42894,192,,,,
1000122,2,42894,43355,320,,,,
1000123,2,43355,44278,64,,,,
1000124,0,44971,0,192,,,,
1000125,2,45201,45663,64,,,,
1000126,2,45201,45663,320,,,,
1000127,0,45663,0,192,,,,
1000128,0,45663,0,448,,,,
1000129,0,45894,0,320,,,,
1000130,0,45894,0,64,,,,
1000131,0,46125,0,192,,,,
1000132,0,46125,0,448,,,,
1000133,0,46355,0,320,,,,
1000134,0,46355,0,64,,,,
1000135,0,46586,0,192,,,,
1000136,0,46586,0,448,,,,
1000137,0,46817,0,320,,,,
1000138,0,46817,0,64,,,,
1000139,2,47048,47509,192,,,,
1000140,2,47048,47509,448,,,,
1000141,2,47509,47971,320,,,,
1000142,2,47509,47971,64,,,,
1000143,2,47971,48432,192,,,,
1000144,2,47971,48432,448,,,,
1000145,2,48894,49355,192,,,,
1000146,2,48894,49355,448,,,,
1000147,0,49355,0,320,,,,
1000148,0,49355,0,64,,,,
1000149,0,49586,0,192,,,,
1000150,0,49586,0,448,,,,
1000151,0,49817,0,320,,,,
