ID,Type,StartTime,EndTime,Location,BPM,Color,
int,int,float,int,int,float,float,
1000001,0,750,0,64,160,,
1000002,0,937,0,320,,,
1000003,0,1125,0,192,,,
1000004,0,1312,0,320,,,
1000005,0,1500,0,192,,,
1000006,0,1687,0,448,,,
1000007,0,1875,0,192,,,
1000008,0,2062,0,320,,,
1000009,2,2250,2812,192,,,
1000010,0,2812,0,64,,,
1000011,0,3000,0,320,,,
1000012,0,3187,0,192,,,
1000013,2,3375,3937,448,,,
1000014,0,3937,0,192,,,
1000015,0,4125,0,320,,,
1000016,0,4312,0,64,,,
1000017,2,4500,5062,320,,,
1000018,0,5062,0,64,,,
1000019,0,5250,0,448,,,
1000020,0,5437,0,192,,,
1000021,0,5625,0,320,,,
1000022,0,5812,0,192,,,
1000023,0,6000,0,320,,,
1000024,0,6187,0,64,,,
1000025,0,6375,0,320,,,
1000026,0,6562,0,192,,,
1000027,2,6750,7312,320,,,
1000028,0,7312,0,448,,,
1000029,0,7500,0,192,,,
1000030,0,7687,0,320,,,
1000031,2,7875,8437,64,,,
1000032,0,8437,0,320,,,
1000033,0,8625,0,192,,,
1000034,0,8812,0,448,,,
1000035,2,9000,9562,192,,,
1000036,0,9562,0,320,,,
1000037,0,9750,0,192,,,
1000038,0,9937,0,448,,,
1000039,2,10125,10687,64,,,
1000040,0,10687,0,192,,,
1000041,0,10875,0,320,,,
1000042,0,11062,0,192,,,
1000043,2,11250,11812,448,,,
1000044,0,11812,0,192,,,
1000045,0,12000,0,320,,,
1000046,0,12187,0,192,,,
1000047,2,12375,12937,64,,,
1000048,0,12937,0,320,,,
1000049,0,13125,0,192,,,
1000050,0,13312,0,320,,,
1000051,2,13500,14062,448,,,
1000052,0,14062,0,192,,,
1000053,0,14250,0,320,,,
1000054,0,14437,0,64,,,
1000055,0,14625,0,320,,,
1000056,0,14812,0,192,,,
1000057,0,15000,0,448,,,
1000058,0,15187,0,192,,,
1000059,0,15375,0,320,,,
1000060,0,15562,0,64,,,
1000061,0,15750,0,320,,,
1000062,0,15937,0,192,,,
1000063,0,16125,0,448,,,
1000064,0,16312,0,192,,,
1000065,0,16500,0,320,,,
1000066,0,16687,0,64,,,
1000067,0,16875,0,320,,,
1000068,0,17062,0,192,,,
1000069,0,17250,0,448,,,
1000070,0,17437,0,64,,,
1000071,0,17625,0,320,,,
1000072,0,17812,0,192,,,
1000073,2,18000,18562,320,,,
1000074,0,18562,0,448,,,
1000075,0,18750,0,192,,,
1000076,0,18937,0,320,,,
1000077,2,19125,19687,64,,,
1000078,0,19687,0,320,,,
1000079,0,19875,0,192,,,
1000080,0,20062,0,448,,,
1000081,2,20250,20812,192,,,
1000082,0,20812,0,64,,,
1000083,0,21000,0,448,,,
1000084,0,21187,0,320,,,
1000085,0,21375,0,192,,,
1000086,0,21562,0,320,,,
1000087,0,21750,0,64,,,
1000088,0,21937,0,448,,,
1000089,0,22125,0,192,,,
1000090,0,22312,0,320,,,
1000091,2,22500,23062,192,,,
1000092,0,23062,0,64,,,
1000093,0,23250,0,320,,,
1000094,0,23437,0,192,,,
