ID,Type,StartTime,EndTime,Location,BPM,Color
int,int,float,int,int,float,float
1000001,2,1846,2307,320,130,
1000002,2,2307,2769,192,,
1000003,2,2769,3230,448,,
1000004,2,3230,3692,64,,
1000005,2,3692,4153,192,,
1000006,2,4153,4615,320,,
1000007,2,4615,5076,64,,
1000008,2,5076,5538,192,,
1000009,2,5538,6000,448,,
1000010,2,6000,6461,192,,
1000011,2,6461,6923,320,,
1000012,2,6923,7384,192,,
1000013,2,7384,7846,448,,
1000014,2,7846,8307,64,,
1000015,2,8307,8769,448,,
1000016,2,8769,9230,192,,
1000017,2,9230,11076,320,,
1000018,2,9230,11076,64,,
1000019,0,12230,0,448,,
1000020,0,12461,0,192,,
1000021,0,12692,0,320,,
1000022,2,12923,14076,192,,
1000023,0,14076,0,448,,
1000024,0,14307,0,320,,
1000025,0,14538,0,192,,
1000026,2,14769,15923,320,,
1000027,0,15923,0,192,,
1000028,0,16153,0,448,,
1000029,0,16384,0,192,,
1000030,2,16615,17076,448,,
1000031,0,17076,0,192,,
1000032,0,17307,0,64,,
1000033,0,17538,0,320,,
1000034,0,17769,0,64,,
1000035,2,18000,18461,448,,
1000036,0,18461,0,192,,
1000037,0,18692,0,64,,
1000038,2,18923,19615,320,,
1000039,0,19615,0,192,,
1000040,0,19846,0,64,,
1000041,0,20076,0,448,,
1000042,2,20307,21461,64,,
1000043,0,21461,0,192,,
1000044,0,21692,0,448,,
1000045,0,21923,0,192,,
1000046,2,22153,23307,448,,
1000047,0,23307,0,192,,
1000048,0,23538,0,64,,
1000049,0,23769,0,192,,
1000050,2,24000,24461,448,,
1000051,0,24461,0,320,,
1000052,0,24692,0,192,,
1000053,0,24923,0,320,,
1000054,0,25153,0,64,,
1000055,2,25384,25846,320,,
1000056,2,25846,27230,448,,
1000057,2,25846,27230,192,,
1000058,0,27230,0,64,,
1000059,0,27461,0,192,,
1000060,0,27692,0,64,,
1000061,0,28038,0,320,,
1000062,0,28384,0,448,,
1000063,0,28615,0,192,,
1000064,0,28961,0,320,,
1000065,0,29192,0,64,,
1000066,0,29538,0,192,,
1000067,0,29538,0,448,,
1000068,0,29884,0,320,,
1000069,0,30230,0,192,,
1000070,2,30461,31153,448,,
1000071,0,31153,0,320,,
1000072,0,31384,0,64,,
1000073,0,31730,0,320,,
1000074,0,32076,0,64,,
1000075,0,32307,0,192,,
1000076,0,32653,0,448,,
1000077,0,33000,0,192,,
1000078,0,33230,0,64,,
1000079,0,33230,0,320,,
1000080,0,33576,0,192,,
1000081,0,33923,0,320,,
1000082,2,34153,35076,448,,
1000083,0,35076,0,192,,
1000084,0,35423,0,320,,
1000085,0,35769,0,192,,
1000086,0,36000,0,320,,
1000087,0,36000,0,64,,
1000088,0,36346,0,192,,
1000089,0,36692,0,320,,
1000090,0,36923,0,448,,
1000091,0,37269,0,64,,
1000092,0,37615,0,320,,
1000093,2,37846,38307,192,,
1000094,2,38307,38769,448,,
1000095,2,38769,39230,320,,
1000096,2,39230,39692,192,,
1000097,2,39692,40153,64,,
1000098,2,40153,40615,192,,
1000099,0,40615,0,448,,
1000100,0,41076,0,64,,
1000101,0,41538,0,192,,
1000102,0,41769,0,320,,
1000103,2,42000,42461,64,,
1000104,2,42461,43384,448,,
1000105,2,42461,43384,192,,
1000106,2,43384,43846,320,,
1000107,2,43846,44307,64,,
1000108,0,44307,0,192,,
1000109,0,44538,0,320,,
1000110,0,44769,0,64,,
1000111,0,45230,0,448,,
1000112,0,45461,0,64,,
1000113,0,45692,0,320,,
1000114,2,46153,46615,192,,
1000115,0,46615,0,448,,
1000116,0,46846,0,64,,
1000117,2,47076,47538,192,,
