ID,Type,StartTime,EndTime,Location,BPM,Color,,,,,,
int,int,float,int,int,float,float,,,,,,
1000001,0,0,0,448,140,,,,,,,
1000002,0,214,0,64,,,,,,,,
1000003,2,428,1285,448,,,,,,,,
1000004,0,1714,0,64,,,,,,,,
1000005,0,1928,0,448,,,,,,,,
1000006,2,2142,3000,64,,,,,,,,
1000007,0,3000,0,320,,,,,,,,
1000008,0,3214,0,448,,,,,,,,
1000009,0,3428,0,320,,,,,,,,
1000010,0,3857,0,192,,,,,,,,
1000011,0,4071,0,320,,,,,,,,
1000012,0,4285,0,192,,,,,,,,
1000013,0,4500,0,64,,,,,,,,
1000014,0,4714,0,192,,,,,,,,
1000015,0,4928,0,64,,,,,,,,
1000016,2,5142,5571,192,,,,,,,,
1000017,2,5571,6000,320,,,,,,,,
1000018,0,6000,0,448,,,,,,,,
1000019,0,6214,0,192,,,,,,,,
1000020,0,6428,0,448,,,,,,,,
1000021,0,6642,0,192,,,,,,,,
1000022,0,6857,0,64,,,,,,,,
1000023,0,6857,0,320,,,,,,,,
1000024,0,7500,0,192,,,,,,,,
1000025,0,7714,0,320,,,,,,,,
1000026,2,7928,8571,448,,,,,,,,
1000027,0,8571,0,192,,,,,,,,
1000028,0,8785,0,320,,,,,,,,
1000029,0,9000,0,192,,,,,,,,
1000030,0,9214,0,320,,,,,,,,
1000031,0,9428,0,192,,,,,,,,
1000032,2,9642,10285,320,,,,,,,,
1000033,0,10285,0,192,,,,,,,,
1000034,0,10285,0,448,,,,,,,,
1000035,0,10928,0,320,,,,,,,,
1000036,0,11142,0,192,,,,,,,,
1000037,0,11357,0,64,,,,,,,,
1000038,0,12000,0,320,,,,,,,,
1000039,0,12214,0,192,,,,,,,,
1000040,0,12428,0,448,,,,,,,,
1000041,0,12642,0,320,,,,,,,,
1000042,0,12857,0,448,,,,,,,,
1000043,0,13071,0,320,,,,,,,,
1000044,2,13285,13714,192,,,,,,,,
1000045,0,13714,0,320,,,,,,,,
1000046,0,14142,0,64,,,,,,,,
1000047,2,14571,15000,320,,,,,,,,
1000048,2,15000,15428,192,,,,,,,,
1000049,2,15428,15857,448,,,,,,,,
1000050,2,15857,16285,320,,,,,,,,
1000051,2,16285,16714,64,,,,,,,,
1000052,2,16714,17142,320,,,,,,,,
1000053,0,17142,0,64,,,,,,,,
1000054,0,17571,0,192,,,,,,,,
1000055,2,18000,18428,448,,,,,,,,
1000056,2,18428,18857,64,,,,,,,,
1000057,2,18857,19285,448,,,,,,,,
1000058,2,19285,19714,64,,,,,,,,
1000059,2,19714,20142,192,,,,,,,,
1000060,2,20142,20571,320,,,,,,,,
1000061,0,20571,0,192,,,,,,,,
1000062,0,20571,0,448,,,,,,,,
1000063,0,21214,0,320,,,,,,,,
1000064,0,21428,0,192,,,,,,,,
1000065,2,21642,22285,64,,,,,,,,
1000066,0,22285,0,320,,,,,,,,
1000067,0,22500,0,192,,,,,,,,
1000068,0,22714,0,320,,,,,,,,
1000069,0,22928,0,192,,,,,,,,
1000070,0,23142,0,320,,,,,,,,
1000071,2,23357,24000,192,,,,,,,,
1000072,0,24000,0,320,,,,,,,,
1000073,0,24000,0,64,,,,,,,,
1000074,0,24642,0,192,,,,,,,,
1000075,0,24857,0,320,,,,,,,,
1000076,0,25071,0,448,,,,,,,,
1000077,0,25714,0,192,,,,,,,,
1000078,0,25928,0,320,,,,,,,,
1000079,0,26142,0,64,,,,,,,,
1000080,0,26357,0,192,,,,,,,,
1000081,0,26571,0,64,,,,,,,,
1000082,0,26785,0,192,,,,,,,,
1000083,2,27000,27428,320,,,,,,,,
1000084,0,27428,0,448,,,,,,,,
1000085,0,27428,0,192,,,,,,,,
1000086,0,28071,0,320,,,,,,,,
1000087,0,28285,0,192,,,,,,,,
1000088,2,28500,29142,64,,,,,,,,
1000089,0,29142,0,320,,,,,,,,
1000090,0,29357,0,192,,,,,,,,
1000091,0,29571,0,320,,,,,,,,
1000092,0,29785,0,192,,,,,,,,
1000093,0,30000,0,320,,,,,,,,
1000094,2,30214,30857,192,,,,,,,,
1000095,0,30857,0,320,,,,,,,,
1000096,0,30857,0,64,,,,,,,,
1000097,0,31500,0,192,,,,,,,,
1000098,0,31714,0,320,,,,,,,,
1000099,0,31928,0,448,,,,,,,,
1000100,0,32571,0,192,,,,,,,,
1000101,0,32785,0,320,,,,,,,,
1000102,0,33000,0,64,,,,,,,,
1000103,0,33214,0,192,,,,,,,,
1000104,0,33428,0,64,,,,,,,,
1000105,0,33642,0,192,,,,,,,,
1000106,2,33857,34285,320,,,,,,,,
1000107,0,34285,0,64,,,,,,,,
1000108,0,34714,0,192,,,,,,,,
1000109,0,35142,0,448,,,,,,,,
1000110,0,35571,0,192,,,,,,,,
1000111,0,36000,0,448,,,,,,,,
1000112,0,36428,0,64,,,,,,,,
1000113,0,36857,0,448,,,,,,,,
1000114,0,37285,0,192,,,,,,,,
1000115,2,37714,38571,64,,,,,,,,
1000116,2,38571,39428,192,,,,,,,,
1000117,0,39428,0,320,,,,,,,,
1000118,0,39857,0,448,,,,,,,,
1000119,0,40285,0,320,,,,,,,,
1000120,0,40714,0,192,,,,,,,,
1000121,0,41142,0,64,,,,,,,,
1000122,0,41142,0,320,,,,,,,,
1000123,0,41571,0,192,,,,,,,,
1000124,0,41785,0,320,,,,,,,,
1000125,0,42000,0,448,,,,,,,,
1000126,0,42428,0,192,,,,,,,,
1000127,0,42642,0,320,,,,,,,,
1000128,0,42857,0,192,,,,,,,,
1000129,0,43285,0,448,,,,,,,,
1000130,0,43500,0,64,,,,,,,,
1000131,0,43714,0,448,,,,,,,,
1000132,0,43928,0,320,,,,,,,,
1000133,0,44142,0,192,,,,,,,,
1000134,0,44357,0,320,,,,,,,,
1000135,2,44571,45000,192,,,,,,,,
1000136,0,45000,0,448,,,,,,,,
1000137,0,45214,0,320,,,,,,,,
